positive,negative,sentiment
-45.76339331458452,-63.35135417906591,1.0
-105.49156766855032,-114.20486185551948,1.0
-57.028078220732176,-67.21646725644527,1.0
-10.0558853812441,-18.589056644802415,1.0
-125.74927022264146,-138.3348453710591,1.0
-25.168635340258447,-35.7032655311435,1.0
-73.59466173451841,-90.40536077545119,1.0
-105.43604365286149,-114.3295166300509,1.0
-36.854374736469005,-43.71717393054637,1.0
-117.90506157270497,-129.44578215676603,1.0
-37.32624852530247,-54.9041237170519,1.0
-40.903410334178915,-50.82053456204474,1.0
-4.623102192214101,-4.887809075136955,1.0
-36.978870386631115,-45.464444027224495,1.0
-99.351268139574,-114.16810200321181,1.0
-65.95597126232126,-75.54687232880825,1.0
-64.20249015809712,-74.20384112490699,1.0
-55.53449196528988,-66.7486591372919,1.0
-17.077859885904395,-26.713513714553372,1.0
-83.59632023563498,-94.8276004907333,1.0
-40.064065190277695,-56.00774315827059,1.0
-96.31514406823787,-107.47910831838722,1.0
-46.446248322097574,-55.05445146998147,1.0
-40.84553054791296,-55.856437430575575,1.0
-46.4369895320559,-53.058297026553575,1.0
-8.259338699884445,-16.232404330538095,1.0
-94.12533486207666,-100.72708856778074,1.0
-84.48059926779165,-97.59380839202825,1.0
-71.00445111308917,-84.93338911771353,1.0
-10.678419982153601,-17.320545319338912,1.0
-94.73421355485459,-99.91773567959629,1.0
-17.269254738904024,-23.225400745929917,1.0
-94.17806397489565,-105.2603888599644,1.0
-73.43497745908402,-99.88418945510358,1.0
-45.14092198477962,-53.744523764268955,1.0
-4.623102192214101,-4.887809075136955,1.0
-36.9013653313372,-51.6852478921837,1.0
-26.56224121545432,-32.59794440582216,1.0
-56.51499695367506,-67.23650659814662,1.0
-69.3054994141815,-73.1331581217626,1.0
-29.532102872575926,-37.65241807119123,1.0
-58.1771919442795,-67.86992081990061,1.0
-25.86621523295667,-41.23804005984411,1.0
-23.58341744033504,-26.343139926256477,1.0
-44.59254475272239,-60.63782262847449,1.0
-21.85612983443457,-29.248040318547552,1.0
-82.83017298060771,-92.41493694903572,1.0
-17.99415061777855,-24.705531136855676,1.0
-48.71461618923371,-59.37300853070669,1.0
-29.515486602630126,-38.36870678031286,1.0
-49.820622002885294,-57.36921872724645,1.0
-45.76339331458452,-63.35135417906591,1.0
-52.832376516038074,-57.86697500420142,1.0
-86.13301909152345,-94.95018697991968,1.0
-85.87802190863025,-96.9500722473985,1.0
-67.79925432330324,-77.95216803766434,1.0
-46.46372488011972,-55.55488493597986,1.0
-32.91734488744795,-42.84747797227821,1.0
-30.05444816444593,-43.37837581206179,1.0
-13.877093099704283,-20.786281222138637,1.0
-38.27264388453393,-46.84173907594333,1.0
-4.623102192214101,-4.887809075136955,1.0
-42.94665894960876,-48.075166164880855,1.0
-22.760799627754828,-34.00469983881339,1.0
-62.50235408736357,-69.39801941331453,1.0
-20.041843461143806,-28.694515183419952,1.0
-8.821140918251409,-17.89590946424247,1.0
-49.622756085581436,-70.90965796885763,1.0
-30.646073678243262,-39.073175573117595,1.0
-37.32624852530247,-54.9041237170519,1.0
-62.08737067782625,-74.88629019428157,1.0
-36.73059086204537,-46.19099831179346,1.0
-28.79863382954371,-34.63330849823576,1.0
-91.05228795166119,-99.92013096062935,1.0
-11.21903619104978,-18.99452175291058,1.0
-31.15298085709635,-33.02270847062149,1.0
-80.7464976390194,-88.45108569188609,1.0
-40.064065190277695,-56.00774315827059,1.0
-23.22078783186291,-30.01519912987647,1.0
-9.884035124317439,-16.79729717557436,1.0
-8.345681850988868,-16.232404330538095,1.0
-73.43497745908402,-99.88418945510358,1.0
-62.50898616692651,-72.52268832184201,1.0
-12.135326922923936,-18.99452175291058,1.0
-28.45997660652927,-36.31961239502232,1.0
-68.90473141480834,-80.1149716822229,1.0
-43.10400451605676,-53.770916842819354,1.0
-40.84553054791296,-55.856437430575575,1.0
-31.867630110917816,-41.10401536785909,1.0
-7.008391173131518,-14.827856529108853,1.0
-23.58341744033504,-26.343139926256477,1.0
-36.9013653313372,-51.6852478921837,1.0
-4.623102192214101,-4.887809075136955,1.0
-38.200901396350815,-43.5646799954088,1.0
-47.141589752744146,-66.30626445809965,1.0
-14.710534679190705,-21.937292138742365,1.0
-20.15682144587258,-25.959066008129632,1.0
-20.31203006961865,-25.969396828670035,1.0
-49.622756085581436,-70.90965796885763,1.0
-22.607735049912726,-30.379511719581025,1.0
-26.604781743900347,-34.737377858129975,1.0
-61.5357086789346,-70.16558518256683,1.0
-37.586011384995174,-44.02547529020089,1.0
-20.85329562207655,-29.606982988396418,1.0
-49.622756085581436,-70.90965796885763,1.0
-45.76339331458452,-63.35135417906591,1.0
-32.580497934040196,-40.47395015560917,1.0
-37.132668741020794,-49.41861386347532,1.0
-21.01094479056748,-31.008580043456448,1.0
-14.93718982118801,-23.681105962440974,1.0
-63.012142856833975,-72.61278136536905,1.0
-112.88562132964896,-127.66458954858838,1.0
-49.949056915603336,-67.96449253470318,1.0
-37.32624852530247,-54.9041237170519,1.0
-23.16725434504816,-32.04887225310073,1.0
-43.37301373137373,-54.181327842569836,1.0
-54.36855155268197,-59.62250003275657,1.0
-33.72791337248795,-43.76573171432172,1.0
-73.43497745908402,-99.88418945510358,1.0
-69.83246127494695,-79.37570663204805,1.0
-4.623102192214101,-4.887809075136955,1.0
-75.06565258630917,-90.23647321884972,1.0
-57.192850189806684,-68.7258101649976,1.0
-114.40926273262517,-128.3492551750971,1.0
-42.14103496553988,-52.85862269062969,1.0
-21.885097529841136,-27.5018191446582,1.0
-18.72008762116149,-26.39193009042591,1.0
-40.064065190277695,-56.00774315827059,1.0
-11.44217974236399,-16.979618732368316,1.0
-9.938102345587716,-18.301374572350635,1.0
-33.92883846268025,-38.23653500720438,1.0
-18.63492981282118,-26.525461483050428,1.0
-30.939887641635636,-36.96739225828918,1.0
-29.66099211549301,-35.50373859001684,1.0
-6.603915674208521,-15.133792041869985,1.0
-36.9013653313372,-51.6852478921837,1.0
-17.946897732928004,-24.980943116715643,1.0
-68.57920861162528,-79.05078032633244,1.0
-139.6517078570494,-151.45669334418938,1.0
-66.78276262323443,-74.061371704718,1.0
-85.8841008340703,-97.49525574232375,1.0
-21.4281378222637,-28.471371632105743,1.0
-65.11055713758249,-82.96265013375188,1.0
-78.36047611545092,-93.78614954271967,1.0
-69.30803815805004,-77.85670465985127,1.0
-31.82198882996162,-41.30215761696789,1.0
-39.205751173550226,-49.1819921037275,1.0
-4.623102192214101,-4.887809075136955,1.0
-49.93180358501964,-60.224474487070545,1.0
-63.01573399093466,-74.95147063263389,1.0
